,month,day,hour,precp
232,6,10,16,0.5
233,6,10,17,2.5
234,6,10,18,0.0
235,6,10,19,0.0
236,6,10,20,0.0
237,6,10,21,0.0
238,6,10,22,0.0
239,6,10,23,0.0
240,6,11,0,0.0
241,6,11,1,0.0
242,6,11,2,2.5
243,6,11,3,0.0
244,6,11,4,0.0
245,6,11,5,0.5
246,6,11,6,1.5
247,6,11,7,0.0
248,6,11,8,10.0
249,6,11,9,34.0
250,6,11,10,34.5
251,6,11,11,27.5
252,6,11,12,0.05
253,6,11,13,0.0
254,6,11,14,3.5
255,6,11,15,0.0
256,6,11,16,0.0
257,6,11,17,0.0
258,6,11,18,0.0
259,6,11,19,0.0
260,6,11,20,0.0
261,6,11,21,0.0
262,6,11,22,0.0
263,6,11,23,0.0
264,6,12,0,0.0
265,6,12,1,0.5
266,6,12,2,0.05
267,6,12,3,2.0
268,6,12,4,6.0
269,6,12,5,2.0
270,6,12,6,8.0
271,6,12,7,1.5
272,6,12,8,14.0
273,6,12,9,2.0
274,6,12,10,0.05
275,6,12,11,0.0
276,6,12,12,0.0
277,6,12,13,0.0
278,6,12,14,0.0
279,6,12,15,0.0
280,6,12,16,0.0
281,6,12,17,0.0
282,6,12,18,0.0
283,6,12,19,0.0
284,6,12,20,0.0
285,6,12,21,0.0
286,6,12,22,0.0
287,6,12,23,0.0
288,6,13,0,0.0
289,6,13,1,0.0
290,6,13,2,0.0
291,6,13,3,0.0
292,6,13,4,0.0
293,6,13,5,0.0
294,6,13,6,0.5
295,6,13,7,1.5
296,6,13,8,0.0
297,6,13,9,2.0
298,6,13,10,0.0
299,6,13,11,0.0
300,6,13,12,0.0
301,6,13,13,0.0
302,6,13,14,5.5
303,6,13,15,0.0
304,6,13,16,0.0
305,6,13,17,0.0
306,6,13,18,0.0
307,6,13,19,2.5
308,6,13,20,2.5
309,6,13,21,0.5
310,6,13,22,2.0
311,6,13,23,0.5
312,6,14,0,0.0
313,6,14,1,4.0
314,6,14,2,0.0
315,6,14,3,7.0
316,6,14,4,0.5
317,6,14,5,0.5
318,6,14,6,5.5
319,6,14,7,4.0
320,6,14,8,3.0
321,6,14,9,0.0
322,6,14,10,0.0
323,6,14,11,0.0
324,6,14,12,0.0
325,6,14,13,0.0
326,6,14,14,0.0
327,6,14,15,0.0
328,6,14,16,0.0
329,6,14,17,0.0
330,6,14,18,0.0
331,6,14,19,0.0
332,6,14,20,0.0
333,6,14,21,0.0
334,6,14,22,0.0
335,6,14,23,0.0
336,6,15,0,0.0
337,6,15,1,0.0
338,6,15,2,0.0
339,6,15,3,0.0
340,6,15,4,0.0
341,6,15,5,0.0
342,6,15,6,0.0
343,6,15,7,0.0
344,6,15,8,0.0
345,6,15,9,0.0
346,6,15,10,0.0
347,6,15,11,0.0
