,month,day,hour,speed
759,7,5,17,2.4
760,7,5,18,2.3
761,7,5,19,1.3
762,7,5,20,1.9
763,7,5,21,1.4
764,7,5,22,2.0
765,7,5,23,1.6
766,7,6,0,1.7
767,7,6,1,2.0
768,7,6,2,1.7
769,7,6,3,2.3
770,7,6,4,2.6
771,7,6,5,2.6
772,7,6,6,3.4
773,7,6,7,1.9
774,7,6,8,3.5
775,7,6,9,3.4
776,7,6,10,3.9
777,7,6,11,3.8
778,7,6,12,4.2
779,7,6,13,2.8
780,7,6,14,2.2
781,7,6,15,4.5
782,7,6,16,3.0
783,7,6,17,2.0
784,7,6,18,1.6
785,7,6,19,1.6
786,7,6,20,2.7
787,7,6,21,2.5
788,7,6,22,1.7
789,7,6,23,2.3
790,7,7,0,3.4
791,7,7,1,2.4
792,7,7,2,2.5
793,7,7,3,2.7
794,7,7,4,2.0
795,7,7,5,3.9
796,7,7,6,2.8
797,7,7,7,2.5
798,7,7,8,2.6
799,7,7,9,2.7
800,7,7,10,3.6
801,7,7,11,3.2
802,7,7,12,2.6
803,7,7,13,2.2
804,7,7,14,3.6
805,7,7,15,2.4
806,7,7,16,2.1
807,7,7,17,2.5
808,7,7,18,3.8
809,7,7,19,2.9
810,7,7,20,3.1
811,7,7,21,3.5
812,7,7,22,3.0
813,7,7,23,2.7
814,7,8,0,2.9
815,7,8,1,3.0
816,7,8,2,2.8
817,7,8,3,2.7
818,7,8,4,2.0
819,7,8,5,2.0
820,7,8,6,0.8
821,7,8,7,1.5
822,7,8,8,0.9
823,7,8,9,0.0
824,7,8,10,2.3
825,7,8,11,2.1
826,7,8,12,4.1
827,7,8,13,3.3
828,7,8,14,2.9
829,7,8,15,3.5
830,7,8,16,3.1
831,7,8,17,2.2
832,7,8,18,3.1
833,7,8,19,3.6
834,7,8,20,2.5
835,7,8,21,2.6
836,7,8,22,2.8
837,7,8,23,3.3
838,7,9,0,2.9
839,7,9,1,2.7
840,7,9,2,2.5
841,7,9,3,2.6
842,7,9,4,3.3
843,7,9,5,1.9
844,7,9,6,2.9
845,7,9,7,2.9
846,7,9,8,0.6
847,7,9,9,1.6
848,7,9,10,0.7
849,7,9,11,3.0
850,7,9,12,2.1
851,7,9,13,2.5
852,7,9,14,2.5
853,7,9,15,2.9
854,7,9,16,4.5
855,7,9,17,2.7
856,7,9,18,2.7
857,7,9,19,2.4
858,7,9,20,2.5
859,7,9,21,3.2
860,7,9,22,2.7
861,7,9,23,2.1
862,7,10,0,2.8
863,7,10,1,2.3
864,7,10,2,3.2
865,7,10,3,2.1
866,7,10,4,1.7
867,7,10,5,2.0
868,7,10,6,3.0
869,7,10,7,3.2
870,7,10,8,4.0
871,7,10,9,5.1
872,7,10,10,3.3
873,7,10,11,3.9
874,7,10,12,3.2
875,7,10,13,5.1
876,7,10,14,4.6
877,7,10,15,3.0
878,7,10,16,2.2
879,7,10,17,1.8
880,7,10,18,3.3
881,7,10,19,4.0
882,7,10,20,3.6
883,7,10,21,3.7
884,7,10,22,4.1
885,7,10,23,2.2
886,7,11,0,2.0
887,7,11,1,3.9
888,7,11,2,2.6
889,7,11,3,3.5
890,7,11,4,4.2
891,7,11,5,3.5
892,7,11,6,2.7
893,7,11,7,2.3
894,7,11,8,3.5
895,7,11,9,4.4
896,7,11,10,3.0
897,7,11,11,4.3
898,7,11,12,3.4
899,7,11,13,2.3
900,7,11,14,2.6
901,7,11,15,1.9
902,7,11,16,2.2
903,7,11,17,3.1
